camis,dba,boro,cuisine_description,building,street,zipcode,grade
41280267,EVERYMAN ESPRESSO,Manhattan,Coffee/Tea,136,EAST   13 STREET,10003.0,A
50042574,CARIDAD EXPRESS RESTAURANT,Bronx,Latin American,710,EAST  138 STREET,10454.0,A
50102325,CALIBELLA BAKERY & PIQUETEADERO,Queens,Bakery Products/Desserts,690,SENECA AVENUE,11385.0,A
50084831,BACALL'S,Manhattan,American,220,WEST   44 STREET,10036.0,A
41169084,THINK COFFEE,Manhattan,Coffee/Tea,248,MERCER STREET,10012.0,A
50150215,7TH STREET BURGER,Manhattan,Hamburgers,1177,BROADWAY,10001.0,A
50110984,DUNKIN & BASKIN ROBBINS,Queens,Donuts,64-01,108 STREET,11375.0,A
50006550,R&D FOODS,Brooklyn,American,602,VANDERBILT AVENUE,11238.0,A
41418301,JAC'S ON BOND,Manhattan,Mediterranean,26,BOND STREET,10012.0,A
50002192,GRACE CHINESE CUISINE,Queens,Chinese,952,SENECA AVENUE,11385.0,A
50054573,BURGER KING,Manhattan,Hamburgers,106,LIBERTY STREET,10006.0,A
50154895,7TH STREET BURGER,Queens,Hamburgers,35-02,30 AVENUE,11103.0,A
50103256,MARIA ON THE GRILL,Brooklyn,Latin American,2678,PITKIN AVENUE,11208.0,A
41302113,GIANO,Manhattan,Italian,126,EAST    7 STREET,10009.0,A
40396532,METRO DINER,Manhattan,American,2641,BROADWAY,10025.0,A
50146478,OTHERWAY KITCHEN,Queens,Latin American,121-18,14 ROAD,11356.0,A
50014447,NEW ISLAND,Staten Island,Chinese,27,SEGUINE AVENUE,10309.0,A
50088365,THE BLUE LOBSTER,Manhattan,Latin American,1490,SAINT NICHOLAS AVENUE,10033.0,B
41112470,VILLA MIA PIZZA,Brooklyn,Pizza,526,3 AVENUE,11215.0,A
50141172,QUALITY GREENS KITCHEN,Bronx,Salads,57,WILLOUGHBY ST,,A
50106453,AL-ANDALUS,Manhattan,Middle Eastern,511,EAST    5 STREET,10009.0,A
40602872,STARBUCKS,Staten Island,Coffee/Tea,2505,RICHMOND AVENUE,10314.0,A
50150089,AMBER SUSHI,Manhattan,Japanese,1406,3 AVENUE,10075.0,C
41395381,CITI FIELD STAND 110,Queens,American,000,126TH ST &  ROOSEVELT AVENUE,,A
50131740,CORTHAIYOU,Brooklyn,Thai,1310,CORTELYOU ROAD,11226.0,C
41200490,THE GAF WEST,Manhattan,Irish,401,WEST   48 STREET,10036.0,A
50041245,SUNBERI,Queens,Frozen Desserts,35-04,30 AVENUE,11103.0,A
50129355,THE BRONX BREWERY,Manhattan,Tex-Mex,20,HUDSON YARDS,10001.0,A
50126094,CANAAN BAKERY & CAFE,Queens,Bakery Products/Desserts,36-40,UNION STREET,11354.0,C
50179425,GNOCCHI ON 9TH,Manhattan,Other,470,3 AVENUE,10016.0,A
50060601,LA CUEVA (entrance on Dock Street),Staten Island,American,691,BAY STREET,10304.0,C
50075742,PINKBERRY,Manhattan,Frozen Desserts,1577,2 AVENUE,10028.0,A
50064578,JUNIOR'S RESTAURANT,Manhattan,American,750,7 AVENUE,10019.0,A
50101341,LILY RESTAURANT,Brooklyn,Chinese,1269,SUTTER AVENUE,11208.0,A
50117131,GRILL POINT,Manhattan,Jewish/Kosher,1215,LEXINGTON AVENUE,10028.0,A
50148830,ZOI MEDITERRANEAN CUISINE/ TEN 11 LOUNGE,Manhattan,Mediterranean,19,WEST   31 STREET,10001.0,A
50006813,BAR SAN MIGUEL,Brooklyn,American,307,SMITH STREET,11231.0,A
50167057,BIRDEE,Brooklyn,Coffee/Tea,292,KENT AVENUE,11249.0,A
50152154,EL CONDE BAR & GRILL,Manhattan,Latin American,1261,SAINT NICHOLAS AVENUE,10033.0,A
50112851,CHA KEE,Manhattan,Chinese,43,MOTT STREET,10013.0,C
50088489,VAN LEEUWEN ICE CREAM,Manhattan,Frozen Desserts,224,FRONT STREET,10038.0,A
41626556,STK STEAKHOUSE MIDTOWN,Manhattan,Steakhouse,1114,AVENUE OF THE AMERICAS,10036.0,C
50091869,WHITE NOISE COFFEE,Brooklyn,Coffee/Tea,71,SMITH STREET,11201.0,A
50100141,FAZEES DELIGHT,Queens,Caribbean,215-21,JAMAICA AVENUE,11428.0,C
50129446,PLUE,Manhattan,Thai,1575,LEXINGTON AVENUE,10029.0,A
41721832,PASTELITOS ELVYS,Brooklyn,Spanish,255,WILSON AVENUE,11237.0,B
50045768,INDIAN ACCENT,Manhattan,Indian,123,WEST   56 STREET,10019.0,B
