camis,dba,boro,cuisine_description,building,street,zipcode,grade
41604543,THE NEW PORTALES TAQUERIA,Queens,Mexican,25-08A,BROADWAY,11106.0,A
41289258,PATRON MEXICAN GRILL,Manhattan,Mexican,608,9 AVENUE,10036.0,A
41491217,RIVIERA RISTORANTE,Queens,Italian,17-12,UTOPIA PARKWAY,11357.0,B
50070312,LOUIE & ERNIE'S,Bronx,Pizza,1300,CROSBY AVENUE,10461.0,A
50082366,DUNKIN,Manhattan,Donuts,850,8 AVENUE,10019.0,A
41722059,DELTA SKY CLUB,Queens,American,4,JKF INTL AIRPORT,,A
50156636,LULU & DINO CAFE AND BAKERY,Queens,Bakery Products/Desserts,219-02,NORTHERN BOULEVARD,11361.0,B
41528104,PALERMO PASTRY SHOP,Brooklyn,Bakery Products/Desserts,5517,AVENUE N,11234.0,B
50117975,MCDONALD'S,Brooklyn,Hamburgers,139,FLATBUSH AVENUE,11217.0,A
50146247,GOOGLE NYC SJT FL6 NEIGHCAFE,Manhattan,Soups/Salads/Sandwiches,550,WASHINGTON STREET,10014.0,A
50088840,FUKU,Manhattan,Chicken,20,HUDSON YARDS,10001.0,A
50157137,SUSHI WATAMI,Manhattan,Japanese,40,WEST   37 STREET,10018.0,A
50170248,CHOCO WONKA,Queens,French,12-27A,150 STREET,11357.0,A
50145841,SINGAS PIZZA,Brooklyn,American,409,KNICKERBOCKER AVENUE,11237.0,A
50106934,MAMA'S CUPBOARD,Manhattan,Southeast Asian,235,EAST   53 STREET,10022.0,A
50171563,KENNEDY CHICKEN & BURGER,Bronx,Chicken,3955,BRONXWOOD AVENUE,10466.0,A
41681629,HEAVY WOODS,Brooklyn,American,50,WYCKOFF AVENUE,11237.0,A
50089168,DUNKIN,Manhattan,American,75,CHRISTOPHER STREET,10014.0,A
50070575,THE LOBSTER CLUB,Manhattan,Japanese,99,EAST   52 STREET,10022.0,A
50176961,JUST SALAD,Manhattan,Salads,485,LEXINGTON AVENUE,10017.0,A
41574441,PRINCESS PIZZERIA,Brooklyn,Pizza,535,5 AVENUE,11215.0,A
50097772,MAXI'S NOODLE,Queens,Chinese,135-11,38 AVENUE,11354.0,A
41541674,IHOP,Brooklyn,Pancakes/Waffles,11000,FLATLANDS AVENUE,11207.0,A
41470237,RUINAS DE COPAN,Bronx,Spanish,483,BROOK AVENUE,10455.0,A
50008164,EL BARRIO BURRITOS,Brooklyn,Mexican,796A,FRANKLIN AVENUE,11238.0,A
50041683,MAXIM CHINESE RESTAURANT,Queens,Chinese,68-12,ROOSEVELT AVENUE,11377.0,A
41300940,COOKIE JAR,Staten Island,Bakery Products/Desserts,1226,FOREST AVENUE,10310.0,A
50080344,MONA'S CUISINE,Staten Island,Caribbean,360,TARGEE STREET,10304.0,A
40402266,UNFORGETTABLE LOUNGE,Queens,Bottled Beverages,112-22,SUTPHIN BOULEVARD,11435.0,B
50001398,GRACE STREET,Manhattan,Coffee/Tea,17,WEST   32 STREET,10001.0,A
41488065,BOCA CHICA QUEENS,Queens,Latin American,96-20,37 AVENUE,11368.0,A
50032742,KING TAI,Brooklyn,American,1095,BERGEN STREET,11216.0,A
41420128,BROOKLYN BOWL,Brooklyn,American,61,WYTHE AVENUE,11249.0,A
50019201,CHARLEY'S PHILLY STEAKS,Queens,Sandwiches/Salads/Mixed Buffet,90-15,QUEENS BOULEVARD,11373.0,A
50095499,DUNKIN,Brooklyn,Donuts,617,BRIGHTON BEACH AVENUE,11235.0,A
40665359,VIC'S,Manhattan,Italian,31,GREAT JONES STREET,10012.0,A
41570383,KUNG FU TEA,Queens,Coffee/Tea,38-10,138 STREET,11354.0,A
50158234,NOONA'S ICE CREAM,Manhattan,Frozen Desserts,304,EAST    5 STREET,10003.0,A
50127870,UMI,Queens,Seafood,220-18,HILLSIDE AVENUE,11427.0,A
41652034,RUBY'S,Brooklyn,American,1213,BOARDWALK,11224.0,A
50055338,J C GREEN LIFE NYC,Bronx,American,1343,OGDEN AVENUE,10452.0,A
50127174,DRIP,Manhattan,Coffee/Tea,75,VARICK STREET,10013.0,A
41376524,KAFFE ARE,Manhattan,Coffee/Tea,275,GREENWICH STREET,10007.0,A
50040002,ST. PATRICK'S BAR AND GRILL,Manhattan,American,22,WEST   46 STREET,10036.0,A
50164537,TERI'S TERIYAKI,Queens,Japanese,31-47,STEINWAY STREET,11103.0,B
41062347,POSTMARK CAFE,Brooklyn,Coffee/Tea,326,6 STREET,11215.0,A
50110878,EL RINCONCITO PAISA RESTAURANT & BAKERY,Queens,Latin American,89-07,139 STREET,11435.0,A
50040819,SUBWAY,Staten Island,Sandwiches,9,FERRY TERMINAL DRIVE,10301.0,A
50141143,BAR MILLER,Manhattan,Japanese,620,EAST    6 STREET,10009.0,A
41151907,THE BACK ROOM,Manhattan,American,102,NORFOLK STREET,10002.0,B
41235545,FAVELA,Queens,Brazilian,33-18,28 AVENUE,11103.0,A
50100556,GRAB AND GO,Manhattan,Jewish/Kosher,20,WEST   47 STREET,10036.0,A
50117835,THE PANTRY ON 10,Manhattan,American,665,WEST  130 STREET,10027.0,A
50146063,JAMAICAN FLAVORS,Brooklyn,Caribbean,483,NOSTRAND AVENUE,11216.0,A
41227319,JULIETTE,Brooklyn,French,135,NORTH    5 STREET,11249.0,A
50135178,MEADOWS CAFE,Queens,Coffee/Tea,195-09,69 AVENUE,11365.0,A
50107075,ANGELINA,Manhattan,Coffee/Tea,1050,6 AVENUE,10018.0,A
40716299,CHUCK E. CHEESE,Staten Island,Pizza,1775,SOUTH AVENUE,10314.0,A
41675471,El Crucero Restaurant & Grill,Bronx,Spanish,339,EAST  138 STREET,10454.0,A
50148682,SUPER ACTION BURGER,Brooklyn,Hamburgers,292,GRAHAM AVENUE,11211.0,A
50070923,PAPA JOHN'S PIZZA,Bronx,Pizza,1979,JEROME AVENUE,10453.0,A
50163625,TOZZARELLA,Queens,Coffee/Tea,20-15,COLLEGE POINT BOULEVARD,11356.0,A
50062530,MARKET CRATES,Manhattan,American,224,WEST   35 STREET,10001.0,A
50132678,SONG E' NAPULE UWS,Manhattan,Italian,464,AMSTERDAM AVENUE,10024.0,A
50156027,WENDY'S,Queens,Hamburgers,90-13,METROPOLITAN AVENUE,11374.0,A
50177519,NOODLE VALLEY,Queens,Chinese,60-16,FRESH POND ROAD,11378.0,A
50092077,CAFE MOCHA,Queens,Coffee/Tea,64-08,MYRTLE AVENUE,11385.0,B
50146866,DUNKIN,Staten Island,Coffee/Tea,1145A,BAY STREET,10305.0,C
50078380,JUICE PRESS,Manhattan,"Juice, Smoothies, Fruit Salads",156,PRINCE STREET,10012.0,A
50075830,ANYTHING,Brooklyn,American,453,ROGERS AVENUE,11225.0,A
41673897,KING OF INDIA,Queens,Indian,249-04,HILLSIDE AVENUE,11426.0,A
50104950,HYDERABAD TANDOORI,Queens,Indian,154-12,ROCKAWAY BOULEVARD,11434.0,A
50102797,BOSINO,Manhattan,Italian,203,WEST  103 STREET,10025.0,A
40401422,BROADWAY DIVE,Manhattan,American,2662,BROADWAY,10025.0,A
41242232,HIBINO,Brooklyn,Japanese,333,HENRY STREET,11201.0,A
50105135,EXCELLENT DUMPLING HOUSE,Manhattan,Chinese,165,WEST   23 STREET,10011.0,A
50140110,LIFE TIME,Manhattan,"Juice, Smoothies, Fruit Salads",250,WEST   34 STREET,10119.0,A
50115291,ALIDORO,Manhattan,Sandwiches,601,LEXINGTON AVENUE,10022.0,A
41611253,DUNKIN,Bronx,Donuts,950,ALLERTON AVENUE,10469.0,B
40625667,MI BARRIO,Brooklyn,Mexican,3415,14 AVENUE,11218.0,A
50154373,LOOK BUBBLE TEA,Queens,Coffee/Tea,12-07,JACKSON AVENUE,11101.0,A
41715927,GRUPPO,Manhattan,Pizza,98,AVENUE B,10009.0,A
50140856,OLIYO,Manhattan,American,431,7 AVENUE,10001.0,A
50171394,INKAICO,Brooklyn,Peruvian,447,BERGEN STREET,11217.0,A
50155255,BLUE BOTTLE COFFEE,Manhattan,Coffee/Tea,20,HUDSON YARDS,10001.0,A
41713485,EAST MET WEST,Brooklyn,Chinese,752,METROPOLITAN AVENUE,11211.0,A
50129100,DELICIOUS MEI WEI,Brooklyn,Chinese,765,EAST   82 STREET,11236.0,A
50050467,SYBIL'S BAKERY,Queens,Caribbean,159-24,HILLSIDE AVENUE,11432.0,A
50098565,TARIM UYGHUR CUISINE,Queens,Chinese,136-20,ROOSEVELT AVENUE,11354.0,B
40367841,CAFE FIORELLO,Manhattan,Italian,1900,BROADWAY,10023.0,A
50108319,KFC/TACO BELL,Brooklyn,Chicken,10830,FLATLANDS AVENUE,11236.0,A
50142490,ROYAL GARDEN TBILISH,Brooklyn,Eastern European,230,KINGS HIGHWAY,11223.0,C
50088740,CHILLATO,Queens,Frozen Desserts,17-16,154 STREET,11357.0,A
50158320,TEE'S TERIYAKI HOUSE,Brooklyn,Chinese,792,NEW LOTS AVENUE,11208.0,A
50097423,CIBO EXPRESS GOURMET MARKET,Queens,Sandwiches/Salads/Mixed Buffet,,LAGUARDIA AIRPORT,11369.0,A
50116345,MALII GRAMERCY,Manhattan,Thai,391,2 AVENUE,10010.0,C
41609186,PIER 53 COFFEE & SANDWICH SHOP,Brooklyn,American,5313,2 AVENUE,11220.0,A
50069320,TOFU TOFU,Manhattan,Korean,96,BOWERY,10013.0,A
50057389,CHIPOTLE MEXICAN GRILL #2834,Queens,Tex-Mex,61-35,JUNCTION BOULEVARD,11374.0,A
50146132,KIDS POINT,Brooklyn,American,772,50 STREET,11220.0,A
50125730,Blue Diamond Coffee Shop,Bronx,American,249B,W 231ST ST,,A
50112118,BLUE MOUNTAIN REST & BAKERY,Brooklyn,Caribbean,959,FLATBUSH AVENUE,11226.0,A
50118814,6TH FLOOR CAFE,Manhattan,American,250,VESEY STREET,10281.0,A
50117959,SOL MAYA RESTAURANT,Manhattan,Mexican,2061,2 AVENUE,10029.0,A
41212475,MOE'S CAFE,Manhattan,American,209,EAST   23 STREET,10010.0,A
50104214,HOOK & REEL CAJUN SEAFOOD & BAR,Brooklyn,Seafood,2183B,RALPH AVENUE,11234.0,A
50138306,MADAME BONTE,Manhattan,French,205,EAST   66 STREET,10065.0,A
50150458,PELICANA CHICKEN,Queens,Korean,41-23,162 STREET,11358.0,C
41412502,CAFE GRUMPY,Brooklyn,American,383,7 AVENUE,11215.0,A
50178034,TAPYORKA,Queens,Brazilian,31-05,36 AVENUE,11106.0,A
50122650,TINA RIVERDALE RESTAURANT,Bronx,Latin American,308,WEST  231 STREET,10463.0,A
40748570,SPRINGFIELD DINER,Queens,American,128-13,MERRICK BOULEVARD,11434.0,A
50178825,NANCY BLAKE'S TAVERN + TAP,Queens,Irish,82-19,NORTHERN BOULEVARD,11372.0,A
50049907,3 IN 1 KITCHEN,Brooklyn,American,4902,FORT HAMILTON PARKWAY,11219.0,C
50067198,EL DORADO,Queens,Latin American,54-55,MYRTLE AVENUE,11385.0,B
41700054,SASABUNE EXPRESS NEW YORK,Manhattan,Japanese,322,EAST   59 STREET,10022.0,B
41539722,BOB'S DISCOUNT FURNITURE,Queens,Frozen Desserts,72-25,WOODHAVEN BOULEVARD,11385.0,A
50105727,TWIST COFFEE,Brooklyn,Coffee/Tea,7824,13 AVENUE,11228.0,A
41172924,FORT HAMILTON DINER,Brooklyn,American,9502,FOURTH AVENUE,11209.0,A
50019273,SUBWAY,Manhattan,Sandwiches,221,EAST BROADWAY,10002.0,A
50148835,JOJO DUCK,Manhattan,Chinese,131,WALKER STREET,10013.0,A
41466316,OLIO E PIU,Manhattan,Italian,3,GREENWICH AVENUE,10014.0,A
50130862,ZILLIONS PIZZERIA,Manhattan,Pizza,360,WEST   42 STREET,10036.0,C
50064086,BARESHA,Manhattan,Pizza,180,VARICK STREET,10014.0,A
41417854,DUNKIN',Brooklyn,Donuts,2801,KNAPP STREET,11235.0,A
50132615,DON CEVICHE,Manhattan,Latin American,57,1 AVENUE,10003.0,A
50074305,NORTHERN WANGMANDOO DUMPLING,Queens,Chinese,149-44,NORTHERN BOULEVARD,11354.0,B
41686709,TAUREAU LA SIRENE,Manhattan,French,558,BROOME STREET,10013.0,A
50062755,SUSHI ON JONES,Manhattan,Japanese,217,ELDRIDGE STREET,10002.0,A
50018213,ALBATROSS,Queens,American,36-19,24 AVENUE,11103.0,A
50015241,MOON PALACE KITCHEN,Queens,Chinese,63-12,FLUSHING AVENUE,11378.0,B
50090232,VINCENZOS PIZZARIA RESTAURANT,Queens,Pizza,168-19,UNION TURNPIKE,11366.0,B
41254605,OCEAN'S 8 @ SPORTS BAR & GRILL,Brooklyn,American,308,FLATBUSH AVENUE,11238.0,A
50152189,PUEBLO QUERIDO COFFEE,Queens,Latin American,29-47,NORTHERN BOULEVARD,11101.0,A
50132203,FLAMIN' CHICKEN & PIZZA,Brooklyn,Chicken,1595,BROADWAY,11207.0,A
41559082,WOODSIDE PIZZA,Queens,Italian,44-06,60 STREET,11377.0,A
50164753,CHICK-FIL-A,Manhattan,Other,795,COLUMBUS AVENUE,10025.0,A
50140834,RICURAS ECUDORIAN BAKERY,Bronx,Spanish,1576,WATSON AVENUE,10472.0,A
50135489,WOW CAFE,Brooklyn,Eastern European,12,BRIGHTON   11 STREET,11235.0,A
50142107,BUFFALO WILD WINGS GO,Queens,Chicken,79-23,MAIN STREET,11367.0,A
50061025,SUBWAY,Manhattan,Sandwiches,21,MAIDEN LANE,10038.0,A
50107035,LAS PANTERAS NEGRAS,Manhattan,Spanish,2130,2 AVENUE,10029.0,A
50134858,IPIZZANY,Manhattan,Pizza,3801,BROADWAY,10032.0,B
50144383,UBS EMA 10 WEST CATERING,Manhattan,Other,11,MADISON AVENUE,10010.0,A
50117954,JACK'S WIFE FREDA,Brooklyn,Other,258,WYTHE AVENUE,11249.0,A
50129626,UNCLE TED'S,Manhattan,Chinese,38,EAST    8 STREET,10003.0,A
50120082,CABANA JORGE,Queens,Latin American,688,SENECA AVENUE,11385.0,B
50156796,PARADISE SPORTS BAR,Queens,Mexican,97-15,37 AVENUE,11368.0,B
41472626,BURGER KING,Queens,Hamburgers,131-10,HILLSIDE AVENUE,11418.0,A
50059251,GREGORYS COFFEE,Manhattan,Coffee/Tea,485,MADISON AVENUE,10022.0,A
41231005,MAZZAT,Brooklyn,Middle Eastern,208,COLUMBIA STREET,11231.0,A
41554424,COYOTE BOHEMIO,Queens,Mexican,55-19,MYRTLE AVENUE,11385.0,A
50144507,POSTCARD,Manhattan,Coffee/Tea,31,CARMINE STREET,10014.0,A
41232890,METROPOLITAN CLUB,Manhattan,Continental,1,EAST   60 STREET,10022.0,A
50037419,BROOKLYN CAFE,Brooklyn,American,1,BROOKDALE PLAZA,11212.0,A
50095479,BLACK SEED BAGELS,Manhattan,Bagels/Pretzels,30,ROCKEFELLER PLAZA,10112.0,B
50125782,BEL AMI,Manhattan,Coffee/Tea,866,LEXINGTON AVENUE,10065.0,A
50001372,SAYRAS WINE BAR,Queens,American,91-11,ROCKAWAY BEACH BOULEVARD,11693.0,A
50001063,PENNYLANE COFFEE,Manhattan,Coffee/Tea,305,EAST   45 STREET,10017.0,A
41478428,BARD BASEMENT FACULTY KITCHEN,Manhattan,American,50,HAVEN AVENUE,10032.0,A
50038802,REGO PARK COFFEE SHOP,Queens,American,94-14,63 DRIVE,11374.0,A
50124848,TACO BELL,Bronx,Tex-Mex,4176,WHITE PLAINS ROAD,10466.0,A
50088976,CHICK-N-RICE,Queens,Middle Eastern,271-19,UNION TURNPIKE,11040.0,B
50142302,TABU,Brooklyn,Latin American,10,HOPE STREET,11211.0,B
41600223,FLAVA II,Brooklyn,Caribbean,334,NEW LOTS AVENUE,11207.0,B
50078599,BEANS AND VINES EXPRESS,Manhattan,Latin American,4842,BROADWAY,10034.0,A
50090088,BIN 141,Manhattan,American,43,AVENUE A,10009.0,A
50140111,SALTED,Brooklyn,American,100,WILLOUGHBY STREET,11201.0,A
50081186,AREPAS BURGER,Queens,Latin American,81-05,NORTHERN BOULEVARD,11372.0,A
50116690,SMASHBURGER #1747,Manhattan,Hamburgers,804,LEXINGTON AVENUE,10065.0,A
50133647,CRANE CLUB,Manhattan,Italian,85,10 AVENUE,10011.0,A
50002485,RPM,Manhattan,American,266,BROOME STREET,10002.0,A
50152960,YAWDIE Q,Brooklyn,Hamburgers,2123,CATON AVENUE,11226.0,A
50082730,LITTLE CAESARS,Bronx,Pizza,1656,BRUCKNER BOULEVARD,10473.0,A
50059874,GINZA SUSHI,Brooklyn,Japanese,2809,OCEAN AVENUE,11229.0,A
50085703,XIN XING RESTAURANT,Bronx,Chinese,1520,METROPOLITAN AVENUE,10462.0,B
50053833,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,Caribbean,165-10,JAMAICA AVENUE,11432.0,A
50049996,LENA'S ITALIAN KITCHEN,Manhattan,Italian,551,2 AVENUE,10016.0,B
41660557,HUNGRY GHOST,Brooklyn,Coffee/Tea,253,FLATBUSH AVENUE,11217.0,A
50065189,NORTH COAST SHARK AND BAKE,Brooklyn,Caribbean,873,SCHENECTADY AVENUE,11203.0,A
41618158,BATHTUB GIN,Manhattan,American,132,9 AVENUE,10011.0,A
41654886,RAI RAI KEN,Manhattan,Japanese,218,EAST   10 STREET,10003.0,A
50126033,RECREATION AT MOXY DOWNTOWN,Manhattan,American,26,ANN STREET,10038.0,A
50118496,MOLDOVA,Brooklyn,Eastern European,1827,CONEY ISLAND AVENUE,11230.0,A
50092588,BAGEL CLUB,Queens,Bagels/Pretzels,205-21,35 AVENUE,11361.0,A
50090295,KABAYAN RESTAURANT AND BAKERY,Queens,Filipino,161-18,UNION TURNPIKE,11366.0,C
50044894,JUNCTION CAKE BOX,Queens,Bakery Products/Desserts,57-01,JUNCTION BOULEVARD,11373.0,A
50095899,OMAKASE ROOM BY MAASER,Manhattan,Japanese,321,BLEECKER STREET,10014.0,A
50122279,HAWA SMOOTHIE,Manhattan,"Juice, Smoothies, Fruit Salads",201,EAST   33 STREET,10016.0,A
50086652,NEW YEE LI RESTAURANT,Brooklyn,Chinese,6619,FORT HAMILTON PARKWAY,11219.0,C
50046909,CLUB AMADEUS,Queens,Caribbean,79-51,ALBION AVENUE,11373.0,A
50149340,JOHN'S DINER,Bronx,American,1786,WESTCHESTER AVENUE,10472.0,B
50004089,ECLAIR BAKERY,Manhattan,Bakery Products/Desserts,305,EAST   53 STREET,10022.0,A
50174571,HOLYDOG CAFE,Manhattan,Coffee/Tea,192,LEXINGTON AVENUE,10016.0,A
41374397,DUFF'S,Brooklyn,American,168,MARCY AVENUE,11211.0,A
50092823,KUNG FU TEA,Brooklyn,Coffee/Tea,76,5 AVENUE,11217.0,A
50105154,EATZY THAI,Queens,Thai,33-09,BROADWAY,11106.0,B
50065412,BIA VIETNAMESE RESTAURANT & BAR,Queens,Southeast Asian,271-12,UNION TURNPIKE,11040.0,A
50162302,WINGS & SEAFOOD,Queens,Seafood,785,FAIRVIEW AVENUE,11385.0,A
50140876,KEBAB EXPRESS,Manhattan,Middle Eastern,235,BLEECKER STREET,10014.0,A
50124769,JADE BAKERY,Brooklyn,Chinese,6223,8 AVENUE,11220.0,B
40396445,POLLOS A LA BRASA MARIO,Queens,Latin American,81-01,ROOSEVELT AVENUE,11372.0,A
50116563,VILLAGER,Brooklyn,Coffee/Tea,841,CLASSON AVENUE,11238.0,A
50048240,DUNKIN' / 'BASKIN ROBBINS,Brooklyn,Donuts,43,JAMAICA AVENUE,11207.0,A
50049678,DOMINO'S,Manhattan,Pizza,45,CATHERINE STREET,10038.0,A
50125567,LITTLE RIVER,Manhattan,American,440,EAST   29 STREET,10016.0,A
50087537,M & R DELI & HERO SHOP,Bronx,Sandwiches,1200,MORRIS PARK AVENUE,10461.0,A
50117455,RAJ'S INDIAN KITCHEN,Queens,Indian,42-12,28 STREET,11101.0,A
50119978,MCDONALD'S,Manhattan,American,3809,BROADWAY,10032.0,A
50096311,JERK OFF THE GRILL,Manhattan,Caribbean,354,EAST   78 STREET,10075.0,C
50102026,PARIS BAGUETTE,Manhattan,Bakery Products/Desserts,371,7 AVENUE,10001.0,A
50079545,ONE CUP TEA,Manhattan,Coffee/Tea,124A,HESTER STREET,10002.0,A
50161810,CHICK-FIL-A,Brooklyn,Chicken,809,ATLANTIC AVENUE,11238.0,A
41023651,MCDONALD'S,Queens,Hamburgers,54-29,METROPOLITAN AVENUE,11385.0,A
50083891,BEARD PAPA'S MIDTOWN,Manhattan,Coffee/Tea,239,EAST   53 STREET,10022.0,A
41520990,WORLD BEAN,Queens,Coffee/Tea,,LAGUARDIA AIRPORT,11369.0,A
50100183,TROPICAL TASTE RESTAURANT AND BAKERY,Brooklyn,Caribbean,702,ROCKAWAY AVENUE,11212.0,A
50141171,MOCHICK TEA,Brooklyn,Asian/Asian Fusion,7815,17 AVENUE,11214.0,A
50129263,BAYAHIBE FUSION,Bronx,Latin American,3791,EAST TREMONT AVENUE,10465.0,A
50109674,Tacos La Morena Restaurant,Bronx,Mexican,2319,HUGHES AVENUE,10458.0,A
50069039,JUICE PRESS,Manhattan,"Juice, Smoothies, Fruit Salads",30,ROCKEFELLER PLAZA,10112.0,C
50165521,HALAL BOYZ,Queens,Mediterranean,183-20,HORACE HARDING EXPRESSWAY,11365.0,C
50143507,ZENY'S PIZZA,Bronx,Pizza,1840,NEREID AVENUE,10466.0,A
50080487,SLOW LORIS,Brooklyn,Korean,556,FLATBUSH AVENUE,11225.0,A
41378862,UMI SUSHI JAPANESE CUISINE,Brooklyn,Japanese,215,BRIGHTON BEACH AVENUE,11235.0,A
50105368,DUNKIN DONUTS,Bronx,Donuts,1791,WESTCHESTER AVENUE,10472.0,A
50035421,SPAGHETTI INCIDENT,Manhattan,Italian,231,ELDRIDGE STREET,10002.0,A
50037780,MILLE-FEUILLE BAKERY,Manhattan,French,2175,BROADWAY,10024.0,A
50139303,CANTEEN,Brooklyn,American,265,SCHERMERHORN STREET,11217.0,A
50150160,KAIDA COFFEE & BAKERY,Manhattan,Coffee/Tea,122,LUDLOW STREET,10002.0,A
50038811,GABY'S BAKERY,Brooklyn,Bakery Products/Desserts,238,KNICKERBOCKER AVENUE,11237.0,A
41611664,SERVICE BAR 6,Queens,American,110-00,ROCKAWAY BOULEVARD,11420.0,A
50108174,JET'S PIZZA,Manhattan,Pizza,1165,2 AVENUE,10065.0,A
50089589,N' JOY FAMILY CAFE,Brooklyn,Eastern European,2874,CONEY ISLAND AVENUE,11235.0,A
50034566,DUNKIN,Queens,Donuts,94-03,CORONA AVENUE,11373.0,A
50129511,SOMEBODY'S DARLING,Manhattan,American,1664,1 AVENUE,10028.0,A
50086162,DOCK ASIAN EATERY,Brooklyn,Asian/Asian Fusion,22,WYCKOFF AVENUE,11237.0,A
50059464,AMERICAN BAR,Manhattan,American,33,GREENWICH AVENUE,10014.0,A
50107327,DUNKIN',Bronx,Coffee/Tea,1905,STORY AVENUE,10473.0,A
40943754,CORPORATE CHEF CAFE & CATERING,Manhattan,Sandwiches,50,WEST   56 STREET,10019.0,A
50032768,LA DINASTIA LATIN-CHINESE CUISINE,Manhattan,Chinese/Cuban,145,WEST   72 STREET,10023.0,B
41338348,DROP OFF SERVICE,Manhattan,American,211,AVENUE A,10009.0,A
50044336,KING DRAGON 188,Manhattan,Chinese,1548,MADISON AVENUE,10029.0,A
50057973,PAPAYE DINER,Bronx,African,2300,GRAND CONCOURSE,10458.0,A
50121150,LIBERTY KENNEDY FRIED CHICKEN & PIZZA,Queens,American,111-01,LIBERTY AVENUE,11419.0,A
50083286,EL SANTO TAQIERIA,Brooklyn,Mexican,1053,FLUSHING AVENUE,11237.0,B
50002818,FISH & CHIPS,Brooklyn,American,555,THROOP AVENUE,11216.0,A
50084337,AREPA LADY,Queens,Latin American,77-17,37 AVENUE,11372.0,A
50034142,JOSEPH'S DREAM BURGER,Brooklyn,Jewish/Kosher,1899,CONEY ISLAND AVENUE,11230.0,A
40999287,IL COLOSSEO,Brooklyn,Italian,7704,18 AVENUE,11214.0,A
41681666,ISLAND SOFT PRETZEL STOP,Staten Island,American,6,FERRY TERMINAL DRIVE,10301.0,A
41694705,FRUITTI YUMMI,Queens,Frozen Desserts,57-51,MYRTLE AVENUE,11385.0,A
41233156,FLAVORS,Manhattan,American,27,WHITEHALL STREET,10004.0,A
41094277,JIMBO'S HAMBURGER PLACE,Bronx,Hamburgers,690,MELROSE AVENUE,10455.0,A
50101935,NEW DAI HING RESTAURANT,Queens,Chinese,171-11,JAMAICA AVENUE,11432.0,C
50007974,MR CAKE BAKERY & DESSERT,Bronx,Bakery Products/Desserts,1166,CASTLE HILL AVENUE,10462.0,A
41332205,DUNKIN,Brooklyn,Donuts,1080,MCDONALD AVENUE,11230.0,A
40404024,THE PENN CLUB,Manhattan,American,30,WEST   44 STREET,10036.0,A
40380464,GEIDO,Brooklyn,Japanese,331,FLATBUSH AVENUE,11217.0,A
40396159,CARMINE'S,Manhattan,Italian,200,WEST   44 STREET,10036.0,A
41255390,27 SPORTS BAR & CAFE,Bronx,Latin American,2,WEST MOUNT EDEN AVENUE,10452.0,A
50153744,DUNKIN',Manhattan,Coffee/Tea,1712,MADISON AVENUE,10029.0,A
50106469,SPRINKLES,Brooklyn,Frozen Desserts,5210,13 AVENUE,11219.0,B
50069910,TASTE KITCHEN,Manhattan,Chinese,316,WEST   36 STREET,10018.0,A
50105428,JOY INDIAN RESTAURANT,Brooklyn,Indian,301,FLATBUSH AVENUE,11217.0,A
50133687,CANO COFFEE  COMPANY,Queens,Coffee/Tea,44-16,BROADWAY,11103.0,C
50159866,HOUSE OF FLAVOR,Queens,American,83-34,WOODHAVEN BOULEVARD,11385.0,A
41104863,GYM SPORTSBAR,Manhattan,American,167,8 AVENUE,10011.0,A
50162546,GULLUOGLU,Brooklyn,Eastern European,239,BRIGHTON BEACH AVENUE,11235.0,A
50174901,ASKILI ORCHARD,Manhattan,Eastern European,401,AVENUE OF THE AMERICAS,10014.0,A
50037658,HUMMUS KITCHEN,Manhattan,Jewish/Kosher,1613,2 AVENUE,10028.0,A
50125723,NANA'S,Queens,American,164-26,CROSSBAY BOULEVARD,11414.0,B
50106486,GUMPTION COFFEE,Manhattan,Coffee/Tea,106,WEST   45 STREET,10036.0,A
41262161,DUNKIN',Brooklyn,Donuts,2419,CONEY ISLAND AVENUE,11223.0,A
50107356,DRAGON ONE OF MANHATTAN,Manhattan,Chinese,2076,8 AVENUE,10026.0,B
50043236,VIVI BUBBLE TEA,Brooklyn,Coffee/Tea,5002,5 AVENUE,11220.0,A
41197487,HEARST CORPORATION EDR,Manhattan,American,300,WEST   57 STREET,10019.0,A
50073080,BLEND LOUNGE,Queens,Caribbean,127-07,94 AVENUE,11418.0,B
41478586,JJ'S COFFEE SHOP AND RESTAURANT FRITAILLE,Brooklyn,Caribbean,4021,GLENWOOD ROAD,11210.0,A
50170697,CHAPIYORK DELI GROCERY AND RESTAURANT,Queens,Latin American,37-24A,JUNCTION BOULEVARD,11368.0,B
41475669,KING WOK KITCHEN,Queens,Chinese,108-29,ASCAN AVENUE,11375.0,A
50132255,THE CHUBBY CRAB,Manhattan,Seafood,77,CHRYSTIE STREET,10002.0,B
50107111,CHIP CITY,Queens,Bakery Products/Desserts,45-05,40 STREET,11104.0,A
41032365,HORUS CAFE,Manhattan,Egyptian,93,AVENUE B,10009.0,A
50132845,PANERA BREAD,Manhattan,Sandwiches/Salads/Mixed Buffet,1534,3 AVENUE,10028.0,A
50160972,DUNKIN PC 364658,Bronx,Coffee/Tea,4722,3 AVENUE,10458.0,A
50117362,TEXTBOOK COFFEE,Brooklyn,Coffee/Tea,118,DEKALB AVENUE,11201.0,B
50170190,JIN YUN FU TEA SHOP,Manhattan,Coffee/Tea,12,WEST   29 STREET,10001.0,A
